sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
22N13684	1	Lib-1	HC53KDSX7	ILLUMINA	4	22N13684	22N13684_Lib-1_1	data/fastqs/LOSH_001/LOSH_001_22N13684_S94_L004_R1_001.fastq.gz	data/fastqs/LOSH_001/LOSH_001_22N13684_S94_L004_R2_001.fastq.gz	1655098.348	1729642.929
22N13685	1	Lib-1	HC53KDSX7	ILLUMINA	4	22N13685	22N13685_Lib-1_1	data/fastqs/LOSH_001/LOSH_001_22N13685_S95_L004_R1_001.fastq.gz	data/fastqs/LOSH_001/LOSH_001_22N13685_S95_L004_R2_001.fastq.gz	2015923.85	2111564.715
22N13686	1	Lib-1	HC53KDSX7	ILLUMINA	4	22N13686	22N13686_Lib-1_1	data/fastqs/LOSH_001/LOSH_001_22N13686_S96_L004_R1_001.fastq.gz	data/fastqs/LOSH_001/LOSH_001_22N13686_S96_L004_R2_001.fastq.gz	2303198.783	2418795.185
22N13687	1	Lib-1	HC53KDSX7	ILLUMINA	4	22N13687	22N13687_Lib-1_1	data/fastqs/LOSH_001/LOSH_001_22N13687_S97_L004_R1_001.fastq.gz	data/fastqs/LOSH_001/LOSH_001_22N13687_S97_L004_R2_001.fastq.gz	2160895.999	2276182.259
22N13688	1	Lib-1	HC53KDSX7	ILLUMINA	4	22N13688	22N13688_Lib-1_1	data/fastqs/LOSH_001/LOSH_001_22N13688_S98_L004_R1_001.fastq.gz	data/fastqs/LOSH_001/LOSH_001_22N13688_S98_L004_R2_001.fastq.gz	2049774.936	2129650.033
22N13689	1	Lib-1	HC53KDSX7	ILLUMINA	4	22N13689	22N13689_Lib-1_1	data/fastqs/LOSH_001/LOSH_001_22N13689_S99_L004_R1_001.fastq.gz	data/fastqs/LOSH_001/LOSH_001_22N13689_S99_L004_R2_001.fastq.gz	2327484.149	2442266.561
22N13690	1	Lib-1	HC53KDSX7	ILLUMINA	4	22N13690	22N13690_Lib-1_1	data/fastqs/LOSH_001/LOSH_001_22N13690_S100_L004_R1_001.fastq.gz	data/fastqs/LOSH_001/LOSH_001_22N13690_S100_L004_R2_001.fastq.gz	2184961.963	2290657.97
22N13691	1	Lib-1	HC53KDSX7	ILLUMINA	4	22N13691	22N13691_Lib-1_1	data/fastqs/LOSH_001/LOSH_001_22N13691_S101_L004_R1_001.fastq.gz	data/fastqs/LOSH_001/LOSH_001_22N13691_S101_L004_R2_001.fastq.gz	1950313.633	2045996.906
22N13692	1	Lib-1	HC53KDSX7	ILLUMINA	4	22N13692	22N13692_Lib-1_1	data/fastqs/LOSH_001/LOSH_001_22N13692_S102_L004_R1_001.fastq.gz	data/fastqs/LOSH_001/LOSH_001_22N13692_S102_L004_R2_001.fastq.gz	2220244.245	2339467.8
22N13693	1	Lib-1	HC53KDSX7	ILLUMINA	4	22N13693	22N13693_Lib-1_1	data/fastqs/LOSH_001/LOSH_001_22N13693_S103_L004_R1_001.fastq.gz	data/fastqs/LOSH_001/LOSH_001_22N13693_S103_L004_R2_001.fastq.gz	1799293.047	1893001.667
24N03256	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N03256	24N03256_Lib-6_1	data/fastqs/LOSH_006/L_24N03256_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N03256_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	5864418.278	5866428.795
24N03262	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N03262	24N03262_Lib-6_1	data/fastqs/LOSH_006/L_24N03262_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N03262_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	5433669.96	5333024.921
24N03263	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N03263	24N03263_Lib-6_1	data/fastqs/LOSH_006/L_24N03263_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N03263_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	6194226.098	6106641.187
24N03264	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N03264	24N03264_Lib-6_1	data/fastqs/LOSH_006/L_24N03264_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N03264_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	3316499.079	3283503.491
24N03273	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N03273	24N03273_Lib-6_1	data/fastqs/LOSH_006/L_24N03273_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N03273_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	4192138.985	4110262.356
24N03274	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N03274	24N03274_Lib-6_1	data/fastqs/LOSH_006/L_24N03274_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N03274_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	3474794.646	3601548.162
24N03274	2	Lib-6	22J7G3LT4	ILLUMINA	6	24N03274	24N03274_Lib-6_2	data/fastqs/LOSH_006/S_24N03274_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/S_24N03274_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	4160951.624	4302902.912
24N07347	1	Lib-4	22FWCTLT4	ILLUMINA	7	24N07347	24N07347_Lib-4_1	data/fastqs/LOSH_004/L_24N07347_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_004/L_24N07347_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	4014930.125	3785823.539
24N07348	1	Lib-4	22FWCTLT4	ILLUMINA	7	24N07348	24N07348_Lib-4_1	data/fastqs/LOSH_004/L_24N07348_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_004/L_24N07348_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	2656129.268	2609415.037
24N07349	1	Lib-4	22FWCTLT4	ILLUMINA	7	24N07349	24N07349_Lib-4_1	data/fastqs/LOSH_004/L_24N07349_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_004/L_24N07349_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3989096.829	3816570.159
24N07350	1	Lib-4	22FWCTLT4	ILLUMINA	7	24N07350	24N07350_Lib-4_1	data/fastqs/LOSH_004/L_24N07350_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_004/L_24N07350_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3036023.183	3019848.684
24N07351	1	Lib-4	22FWCTLT4	ILLUMINA	7	24N07351	24N07351_Lib-4_1	data/fastqs/LOSH_004/L_24N07351_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_004/L_24N07351_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	4448581.655	4319477.216
24N07352	1	Lib-4	22FWCTLT4	ILLUMINA	7	24N07352	24N07352_Lib-4_1	data/fastqs/LOSH_004/L_24N07352_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_004/L_24N07352_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3965097.507	3843566.059
24N07353	1	Lib-4	22FWCTLT4	ILLUMINA	7	24N07353	24N07353_Lib-4_1	data/fastqs/LOSH_004/L_24N07353_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_004/L_24N07353_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3729941.647	3624562.847
24N07354	1	Lib-4	22FWCTLT4	ILLUMINA	7	24N07354	24N07354_Lib-4_1	data/fastqs/LOSH_004/L_24N07354_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_004/L_24N07354_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3078996.918	3028521.388
24N07355	1	Lib-4	22FWCTLT4	ILLUMINA	7	24N07355	24N07355_Lib-4_1	data/fastqs/LOSH_004/L_24N07355_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_004/L_24N07355_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3836443.61	3737788.322
24N07356	1	Lib-4	22FWCTLT4	ILLUMINA	7	24N07356	24N07356_Lib-4_1	data/fastqs/LOSH_004/L_24N07356_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_004/L_24N07356_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	2958092.902	2893840.25
24N19708	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N19708	24N19708_Lib-6_1	data/fastqs/LOSH_006/L_24N19708_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N19708_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	2406201.333	2295494.759
24N19708	2	Lib-6	22J7G3LT4	ILLUMINA	6	24N19708	24N19708_Lib-6_2	data/fastqs/LOSH_006/S_24N19708_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/S_24N19708_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	2861201.094	2725961.581
24N19758	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N19758	24N19758_Lib-6_1	data/fastqs/LOSH_006/A_24N19758_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/A_24N19758_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	449115.814	430962.354
24N19758	2	Lib-6	22J7G3LT4	ILLUMINA	6	24N19758	24N19758_Lib-6_2	data/fastqs/LOSH_006/B_24N19758_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/B_24N19758_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	425956.787	411588.899
24N19758	3	Lib-6	22J7G3LT4	ILLUMINA	6	24N19758	24N19758_Lib-6_3	data/fastqs/LOSH_006/L_24N19758_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N19758_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	1921744.558	1853371.117
24N19758	4	Lib-6	22J7G3LT4	ILLUMINA	6	24N19758	24N19758_Lib-6_4	data/fastqs/LOSH_006/S_24N19758_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/S_24N19758_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	2257897.364	2178120.564
24N19759	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N19759	24N19759_Lib-6_1	data/fastqs/LOSH_006/L_24N19759_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N19759_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	1420401.189	1394994.543
24N19759	2	Lib-6	22J7G3LT4	ILLUMINA	6	24N19759	24N19759_Lib-6_2	data/fastqs/LOSH_006/S_24N19759_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/S_24N19759_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	2651660.961	2557631.378
24N19760	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N19760	24N19760_Lib-6_1	data/fastqs/LOSH_006/L_24N19760_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N19760_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	640296.169	619294.087
24N19760	2	Lib-6	22J7G3LT4	ILLUMINA	6	24N19760	24N19760_Lib-6_2	data/fastqs/LOSH_006/S_24N19760_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/S_24N19760_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	780229.95	751699.203
24N19793	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N19793	24N19793_Lib-6_1	data/fastqs/LOSH_006/L_24N19793_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N19793_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	2794318.035	2708590.448
24N19793	2	Lib-6	22J7G3LT4	ILLUMINA	6	24N19793	24N19793_Lib-6_2	data/fastqs/LOSH_006/S_24N19793_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/S_24N19793_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	999665.445	971321.14
24N19794	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N19794	24N19794_Lib-6_1	data/fastqs/LOSH_006/L_24N19794_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N19794_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	489886.209	474431.442
24N19794	2	Lib-6	22J7G3LT4	ILLUMINA	6	24N19794	24N19794_Lib-6_2	data/fastqs/LOSH_006/S_24N19794_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/S_24N19794_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	1622851.342	1558055.59
24N19797	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N19797	24N19797_Lib-6_1	data/fastqs/LOSH_006/L_24N19797_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N19797_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	1625145.972	1556856.113
24N19797	2	Lib-6	22J7G3LT4	ILLUMINA	6	24N19797	24N19797_Lib-6_2	data/fastqs/LOSH_006/S_24N19797_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/S_24N19797_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	2397970.812	2282162.396
24N19822	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N19822	24N19822_Lib-6_1	data/fastqs/LOSH_006/L_24N19822_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N19822_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	3486388.374	3337049.178
24N19822	2	Lib-6	22J7G3LT4	ILLUMINA	6	24N19822	24N19822_Lib-6_2	data/fastqs/LOSH_006/S_24N19822_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/S_24N19822_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	1322573.988	1277336.402
24N19823	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N19823	24N19823_Lib-6_1	data/fastqs/LOSH_006/L_24N19823_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N19823_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	1356504.694	1306658.778
24N19823	2	Lib-6	22J7G3LT4	ILLUMINA	6	24N19823	24N19823_Lib-6_2	data/fastqs/LOSH_006/S_24N19823_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/S_24N19823_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	2309709.495	2229039.735
24N19824	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N19824	24N19824_Lib-6_1	data/fastqs/LOSH_006/L_24N19824_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N19824_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	812944.728	791454.607
24N19824	2	Lib-6	22J7G3LT4	ILLUMINA	6	24N19824	24N19824_Lib-6_2	data/fastqs/LOSH_006/S_24N19824_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/S_24N19824_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	2443753.298	2371456.783
24N19825	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N19825	24N19825_Lib-6_1	data/fastqs/LOSH_006/L_24N19825_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N19825_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	1933246.316	1858833.241
24N19825	2	Lib-6	22J7G3LT4	ILLUMINA	6	24N19825	24N19825_Lib-6_2	data/fastqs/LOSH_006/S_24N19825_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/S_24N19825_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	516622.899	496854.164
24N19826	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N19826	24N19826_Lib-6_1	data/fastqs/LOSH_006/L_24N19826_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N19826_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	2711319.646	2632990.19
24N19826	2	Lib-6	22J7G3LT4	ILLUMINA	6	24N19826	24N19826_Lib-6_2	data/fastqs/LOSH_006/S_24N19826_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/S_24N19826_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	5732546.848	5567371.14
24N19831	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N19831	24N19831_Lib-6_1	data/fastqs/LOSH_006/L_24N19831_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N19831_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	608906.011	573734.767
24N19831	2	Lib-6	22J7G3LT4	ILLUMINA	6	24N19831	24N19831_Lib-6_2	data/fastqs/LOSH_006/S_24N19831_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/S_24N19831_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	566143.144	539251.344
24N19832	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N19832	24N19832_Lib-6_1	data/fastqs/LOSH_006/L_24N19832_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N19832_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	988502.85	957982.701
24N19832	2	Lib-6	22J7G3LT4	ILLUMINA	6	24N19832	24N19832_Lib-6_2	data/fastqs/LOSH_006/S_24N19832_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/S_24N19832_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	342439.465	325862.153
24N19833	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N19833	24N19833_Lib-6_1	data/fastqs/LOSH_006/L_24N19833_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N19833_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	1196883.286	1142571.149
24N19833	2	Lib-6	22J7G3LT4	ILLUMINA	6	24N19833	24N19833_Lib-6_2	data/fastqs/LOSH_006/S_24N19833_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/S_24N19833_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	484974.151	456879.718
24N19834	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N19834	24N19834_Lib-6_1	data/fastqs/LOSH_006/L_24N19834_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N19834_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	336395.216	313275.882
24N19834	2	Lib-6	22J7G3LT4	ILLUMINA	6	24N19834	24N19834_Lib-6_2	data/fastqs/LOSH_006/S_24N19834_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/S_24N19834_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	1428180.394	1327549.068
24N19835	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N19835	24N19835_Lib-6_1	data/fastqs/LOSH_006/L_24N19835_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N19835_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	602357.108	563828.627
24N19835	2	Lib-6	22J7G3LT4	ILLUMINA	6	24N19835	24N19835_Lib-6_2	data/fastqs/LOSH_006/S_24N19835_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/S_24N19835_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	510975.102	478854.479
24N19838	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N19838	24N19838_Lib-6_1	data/fastqs/LOSH_006/L_24N19838_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N19838_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	1521959.13	1444585.668
